22
1,638,598,345,1197,935,838,56,1324,902,2911,612,570,606,740,152,435,346,792,754,742,253
638,1,127,492,1827,1566,1461,650,1908,1473,3542,1235,1201,1241,1374,705,258,528,1372,1338,1323,422
598,127,1,526,1795,1505,1395,620,1823,1387,3478,1171,1143,1186,1336,639,300,562,1290,1257,1242,419
345,492,526,1,1398,1222,1141,312,1649,1238,3179,923,870,894,967,490,235,37,1126,1087,1076,159
1197,1827,1795,1398,1,478,591,1178,854,851,1828,724,711,657,460,1183,1593,1370,827,823,836,1411
935,1566,1505,1222,478,1,128,938,516,374,1977,336,366,331,337,867,1368,1205,354,356,371,1182
838,1461,1395,1141,591,128,1,846,535,281,2083,227,272,252,346,758,1273,1126,237,233,247,1089
56,650,620,312,1178,938,846,1,1342,926,2910,622,575,607,724,202,432,309,815,776,765,246
1324,1908,1823,1649,854,516,535,1342,1,437,1718,731,792,782,852,1214,1753,1638,538,574,587,1576
902,1473,1387,1238,851,374,281,926,437,1,2130,360,430,445,613,784,1324,1231,114,153,162,1152
2911,3542,3478,3179,1828,1977,2083,2910,1718,2130,1,2309,2343,2305,2214,2841,3342,3157,2208,2236,2252,3155
612,1235,1171,923,724,336,227,622,731,360,2309,1,71,101,329,533,1047,910,254,219,219,864
570,1201,1143,870,711,366,272,575,792,430,2343,71,1,55,287,505,1004,855,324,289,288,819
606,1241,1186,894,657,331,252,607,782,445,2305,101,55,1,235,550,1038,878,345,313,315,852
740,1374,1336,967,460,337,346,724,852,613,2214,329,287,235,1,724,1147,944,535,512,518,962
152,705,639,490,1183,867,758,202,1214,784,2841,533,505,550,724,1,541,495,677,641,628,376
435,258,300,235,1593,1368,1273,432,1753,1324,3342,1047,1004,1038,1147,541,1,271,1217,1180,1167,187
346,528,562,37,1370,1205,1126,309,1638,1231,3157,910,855,878,944,495,271,1,1118,1079,1069,185
792,1372,1290,1126,827,354,237,815,538,114,2208,254,324,345,535,677,1217,1118,1,39,50,1043
754,1338,1257,1087,823,356,233,776,574,153,2236,219,289,313,512,641,1180,1079,39,1,17,1005
742,1323,1242,1076,836,371,247,765,587,162,2252,219,288,315,518,628,1167,1069,50,17,1,993
253,422,419,159,1411,1182,1089,246,1576,1152,3155,864,819,852,962,376,187,185,1043,1005,993,1
